"","Year","Period","Geo Level","State","Market","Action","Measure","Metric","Value"
"224",2020,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN $","324,584,000"
"225",2020,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN CWT","2,340,000"
"226",2020,"YEAR","STATE","FLORIDA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","200"
"227",2020,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"228",2020,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"229",2020,"YEAR","STATE","FLORIDA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","7,000"
"230",2020,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"231",2020,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"232",2020,"YEAR","STATE","FLORIDA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","2,333,000"
"233",2020,"YEAR","STATE","OTHER STATES","ACRES HARVESTED",NA,NA,NA,"0"
"234",2020,"YEAR","STATE","OTHER STATES","ACRES PLANTED",NA,NA,NA,"0"
"235",2020,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"MEASURED IN $","0"
"236",2020,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION",NA,"MEASURED IN CWT","0"
"237",2020,"YEAR","STATE","OTHER STATES","YIELD",NA,NA,"MEASURED IN CWT / ACRE","0"
"238",2020,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","2,404,152,000"
"239",2020,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","21,756,400"
"240",2020,"YEAR","STATE","OTHER STATES","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"241",2020,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"MEASURED IN $","187,607,000"
"242",2020,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","4,927,800"
"243",2020,"YEAR","STATE","OTHER STATES","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","0"
"244",2019,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","115"
"245",2019,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","130"
"246",2019,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","52.8"
"247",2019,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","110"
"248",2019,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"249",2019,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"250",2019,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","152"
"251",2019,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"252",2019,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"253",2019,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","130"
"254",2019,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","52.8"
"255",2019,"YEAR","NATIONAL","US TOTAL","ACRES HARVESTED",NA,NA,NA,"45,400"
"256",2019,"YEAR","NATIONAL","US TOTAL","ACRES PLANTED",NA,NA,NA,"45,800"
"257",2019,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN $","2,749,961,000"
"258",2019,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN CWT","23,980,000"
"259",2019,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN TONS","1,199,000"
"260",2019,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN CWT / ACRE","528"
"261",2019,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN TONS / ACRE","26.41"
"262",2019,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","2,501,482,000"
"263",2019,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","19,251,000"
"264",2019,"YEAR","NATIONAL","US TOTAL","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","21,300"
"265",2019,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"MEASURED IN $","248,479,000"
"266",2019,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","4,707,700"
"267",2019,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","23,958,700"
"268",2019,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN TONS","1,197,935"
"269",2019,"YEAR","STATE","CALIFORNIA","ACRES HARVESTED",NA,NA,NA,"34,900"
"270",2019,"YEAR","STATE","CALIFORNIA","ACRES PLANTED",NA,NA,NA,"35,300"
"271",2019,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $","2,342,148,000"
"272",2019,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT","21,300,000"
"273",2019,"YEAR","STATE","CALIFORNIA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","610"
"274",2019,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"275",2019,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"276",2019,"YEAR","STATE","CALIFORNIA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","21,300"
"277",2019,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"278",2019,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"279",2019,"YEAR","STATE","CALIFORNIA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","21,278,700"
"280",2019,"YEAR","STATE","FLORIDA","ACRES HARVESTED",NA,NA,NA,"10,500"
"281",2019,"YEAR","STATE","FLORIDA","ACRES PLANTED",NA,NA,NA,"10,500"
"282",2019,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN $","407,813,000"
"283",2019,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN CWT","2,680,000"
"284",2019,"YEAR","STATE","FLORIDA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","255"
"285",2019,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"286",2019,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"287",2019,"YEAR","STATE","FLORIDA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"288",2019,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"289",2019,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"290",2019,"YEAR","STATE","FLORIDA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","2,680,000"
"291",2019,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","2,501,482,000"
"292",2019,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","19,251,000"
"293",2019,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"MEASURED IN $","248,479,000"
"294",2019,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","4,707,700"
"295",2018,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","93.5"
"296",2018,"MARKETING YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","106"
"297",2018,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","43.7"
"298",2018,"MARKETING YEAR","NATIONAL","US TOTAL","PROCESSING","PRICE RECEIVED","MEASURED IN $ / TON",NA,"760"
"299",2018,"MARKETING YEAR","STATE","CALIFORNIA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","90.9"
"300",2018,"MARKETING YEAR","STATE","CALIFORNIA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","104"
"301",2018,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","42.2"
"302",2018,"MARKETING YEAR","STATE","CALIFORNIA","PROCESSING","PRICE RECEIVED","MEASURED IN $ / TON",NA,"730"
"303",2018,"MARKETING YEAR","STATE","FLORIDA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","115"
"304",2018,"MARKETING YEAR","STATE","FLORIDA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","115"
"305",2018,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","0"
"306",2018,"MARKETING YEAR","STATE","FLORIDA","PROCESSING","PRICE RECEIVED","MEASURED IN $ / TON",NA,"0"
"307",2018,"MARKETING YEAR","STATE","NEW YORK",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","204"
"308",2018,"MARKETING YEAR","STATE","NEW YORK","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"309",2018,"MARKETING YEAR","STATE","NEW YORK","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"310",2018,"MARKETING YEAR","STATE","NORTH CAROLINA",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","171"
"311",2018,"MARKETING YEAR","STATE","NORTH CAROLINA","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","171"
"312",2018,"MARKETING YEAR","STATE","NORTH CAROLINA","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","0"
"313",2018,"MARKETING YEAR","STATE","NORTH CAROLINA","PROCESSING","PRICE RECEIVED","MEASURED IN $ / TON",NA,"0"
"314",2018,"MARKETING YEAR","STATE","OREGON",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","107"
"315",2018,"MARKETING YEAR","STATE","OREGON","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"316",2018,"MARKETING YEAR","STATE","OREGON","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"317",2018,"MARKETING YEAR","STATE","OTHER STATES","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","212"
"318",2018,"MARKETING YEAR","STATE","OTHER STATES","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","88"
"319",2018,"MARKETING YEAR","STATE","WASHINGTON",NA,"PRICE RECEIVED",NA,"MEASURED IN $ / CWT","107"
"320",2018,"MARKETING YEAR","STATE","WASHINGTON","FRESH MARKET","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"321",2018,"MARKETING YEAR","STATE","WASHINGTON","PROCESSING","PRICE RECEIVED",NA,"MEASURED IN $ / CWT","(D)"
"322",2018,"YEAR","NATIONAL","US TOTAL","ACRES HARVESTED",NA,NA,NA,"49,320"
"323",2018,"YEAR","NATIONAL","US TOTAL","ACRES PLANTED",NA,NA,NA,"49,800"
"324",2018,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN $","2,472,447,000"
"325",2018,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN CWT","26,480,000"
"326",2018,"YEAR","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN CWT / ACRE","537"
"327",2018,"YEAR","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","2,242,706,000"
"328",2018,"YEAR","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","21,196,100"
"329",2018,"YEAR","NATIONAL","US TOTAL","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","25,100"
"330",2018,"YEAR","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"MEASURED IN $","229,741,000"
"331",2018,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,258,800"
"332",2018,"YEAR","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","284,740"
"333",2018,"YEAR","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","26,454,900"
"334",2018,"YEAR","STATE","CALIFORNIA","ACRES HARVESTED",NA,NA,NA,"36,300"
"335",2018,"YEAR","STATE","CALIFORNIA","ACRES PLANTED",NA,NA,NA,"36,300"
"336",2018,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $","2,179,066,000"
"337",2018,"YEAR","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT","24,000,000"
"338",2018,"YEAR","STATE","CALIFORNIA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","660"
"339",2018,"YEAR","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","1,964,352,000"
"340",2018,"YEAR","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","18,888,000"
"341",2018,"YEAR","STATE","CALIFORNIA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","24,000"
"342",2018,"YEAR","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","214,714,000"
"343",2018,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,088,000"
"344",2018,"YEAR","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","276,358"
"345",2018,"YEAR","STATE","CALIFORNIA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","23,976,000"
"346",2018,"YEAR","STATE","FLORIDA","ACRES HARVESTED",NA,NA,NA,"9,400"
"347",2018,"YEAR","STATE","FLORIDA","ACRES PLANTED",NA,NA,NA,"9,400"
"348",2018,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN $","243,800,000"
"349",2018,"YEAR","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN CWT","2,120,000"
"350",2018,"YEAR","STATE","FLORIDA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","225"
"351",2018,"YEAR","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","243,800,000"
"352",2018,"YEAR","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","2,120,000"
"353",2018,"YEAR","STATE","FLORIDA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"354",2018,"YEAR","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","0"
"355",2018,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","0"
"356",2018,"YEAR","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","0"
"357",2018,"YEAR","STATE","FLORIDA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","2,120,000"
"358",2018,"YEAR","STATE","NEW YORK","ACRES HARVESTED",NA,NA,NA,"700"
"359",2018,"YEAR","STATE","NEW YORK","ACRES PLANTED",NA,NA,NA,"800"
"360",2018,"YEAR","STATE","NEW YORK",NA,"PRODUCTION",NA,"MEASURED IN $","6,065,000"
"361",2018,"YEAR","STATE","NEW YORK",NA,"PRODUCTION",NA,"MEASURED IN CWT","30,000"
"362",2018,"YEAR","STATE","NEW YORK","YIELD",NA,NA,"MEASURED IN CWT / ACRE","44"
"363",2018,"YEAR","STATE","NEW YORK","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"364",2018,"YEAR","STATE","NEW YORK","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"365",2018,"YEAR","STATE","NEW YORK","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","200"
"366",2018,"YEAR","STATE","NEW YORK","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"367",2018,"YEAR","STATE","NEW YORK","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"368",2018,"YEAR","STATE","NEW YORK","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","29,800"
"369",2018,"YEAR","STATE","NORTH CAROLINA","ACRES HARVESTED",NA,NA,NA,"1,000"
"370",2018,"YEAR","STATE","NORTH CAROLINA","ACRES PLANTED",NA,NA,NA,"1,100"
"371",2018,"YEAR","STATE","NORTH CAROLINA",NA,"PRODUCTION",NA,"MEASURED IN $","22,230,000"
"372",2018,"YEAR","STATE","NORTH CAROLINA",NA,"PRODUCTION",NA,"MEASURED IN CWT","130,000"
"373",2018,"YEAR","STATE","NORTH CAROLINA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","125"
"374",2018,"YEAR","STATE","NORTH CAROLINA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","22,230,000"
"375",2018,"YEAR","STATE","NORTH CAROLINA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","130,000"
"376",2018,"YEAR","STATE","NORTH CAROLINA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"377",2018,"YEAR","STATE","NORTH CAROLINA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","0"
"378",2018,"YEAR","STATE","NORTH CAROLINA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","0"
"379",2018,"YEAR","STATE","NORTH CAROLINA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","0"
"380",2018,"YEAR","STATE","NORTH CAROLINA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","130,000"
"381",2018,"YEAR","STATE","OREGON","ACRES HARVESTED",NA,NA,NA,"1,100"
"382",2018,"YEAR","STATE","OREGON","ACRES PLANTED",NA,NA,NA,"1,300"
"383",2018,"YEAR","STATE","OREGON",NA,"PRODUCTION",NA,"MEASURED IN $","11,687,000"
"384",2018,"YEAR","STATE","OREGON",NA,"PRODUCTION",NA,"MEASURED IN CWT","110,000"
"385",2018,"YEAR","STATE","OREGON","YIELD",NA,NA,"MEASURED IN CWT / ACRE","100"
"386",2018,"YEAR","STATE","OREGON","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"387",2018,"YEAR","STATE","OREGON","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"388",2018,"YEAR","STATE","OREGON","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","700"
"389",2018,"YEAR","STATE","OREGON","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"390",2018,"YEAR","STATE","OREGON","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"391",2018,"YEAR","STATE","OREGON","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","109,300"
"392",2018,"YEAR","STATE","OTHER STATES","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","12,324,000"
"393",2018,"YEAR","STATE","OTHER STATES","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","58,100"
"394",2018,"YEAR","STATE","OTHER STATES","PROCESSING","PRODUCTION",NA,"MEASURED IN $","15,027,000"
"395",2018,"YEAR","STATE","OTHER STATES","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","170,800"
"396",2018,"YEAR","STATE","WASHINGTON","ACRES HARVESTED",NA,NA,NA,"820"
"397",2018,"YEAR","STATE","WASHINGTON","ACRES PLANTED",NA,NA,NA,"900"
"398",2018,"YEAR","STATE","WASHINGTON",NA,"PRODUCTION",NA,"MEASURED IN $","9,599,000"
"399",2018,"YEAR","STATE","WASHINGTON",NA,"PRODUCTION",NA,"MEASURED IN CWT","90,000"
"400",2018,"YEAR","STATE","WASHINGTON","YIELD",NA,NA,"MEASURED IN CWT / ACRE","105"
"401",2018,"YEAR","STATE","WASHINGTON","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","(D)"
"402",2018,"YEAR","STATE","WASHINGTON","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"403",2018,"YEAR","STATE","WASHINGTON","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","200"
"404",2018,"YEAR","STATE","WASHINGTON","PROCESSING","PRODUCTION",NA,"MEASURED IN $","(D)"
"405",2018,"YEAR","STATE","WASHINGTON","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","(D)"
"406",2018,"YEAR","STATE","WASHINGTON","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","89,800"
"407",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","ACRES HARVESTED",NA,NA,NA,"49,920"
"408",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","ACRES PLANTED",NA,NA,NA,"50,600"
"409",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN $","3,371,461,000"
"410",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA,"PRODUCTION",NA,"MEASURED IN CWT","31,764,900"
"411",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","YIELD",NA,NA,"MEASURED IN CWT / ACRE","636.3"
"412",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","3,154,923,000"
"413",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","26,040,000"
"414",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","30,100"
"415",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","PROCESSING","PRODUCTION",NA,"MEASURED IN $","216,538,000"
"416",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,694,800"
"417",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","284,740"
"418",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","31,734,800"
"419",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","ACRES HARVESTED",NA,NA,NA,"36,400"
"420",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","ACRES PLANTED",NA,NA,NA,"36,500"
"421",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $","3,030,953,000"
"422",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT","28,938,000"
"423",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","795"
"424",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","2,829,210,000"
"425",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","23,381,900"
"426",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","28,900"
"427",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","201,743,000"
"428",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","5,527,200"
"429",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","276,358"
"430",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","28,909,100"
"431",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","ACRES HARVESTED",NA,NA,NA,"9,900"
"432",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","ACRES PLANTED",NA,NA,NA,"10,000"
"433",2018,"YEAR - AUG FORECAST","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN $","292,050,000"
"434",2018,"YEAR - AUG FORECAST","STATE","FLORIDA",NA,"PRODUCTION",NA,"MEASURED IN CWT","2,475,000"
"435",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","YIELD",NA,NA,"MEASURED IN CWT / ACRE","250"
"436",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","FRESH MARKET","PRODUCTION",NA,"MEASURED IN $","292,050,000"
"437",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","FRESH MARKET",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","2,475,000"
"438",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","NOT SOLD","PRODUCTION",NA,"MEASURED IN CWT","0"
"439",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","PROCESSING","PRODUCTION",NA,"MEASURED IN $","0"
"440",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT","0"
"441",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","PROCESSING",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS","0"
"442",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","UTILIZED","PRODUCTION",NA,"MEASURED IN CWT","2,475,000"
"443",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","ACRES HARVESTED",NA,NA,NA,"700"
"444",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","ACRES PLANTED",NA,NA,NA,"800"
"445",2018,"YEAR - AUG FORECAST","STATE","NEW YORK",NA,"PRODUCTION",NA,"MEASURED IN $","6,229,000"
"446",2018,"YEAR - AUG FORECAST","STATE","NEW YORK",NA,"PRODUCTION",NA,"MEASURED IN CWT","30,800"
"447",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","YIELD",NA,NA,"MEASURED IN CWT / ACRE","44"
