"","Year","Period","Geo Level","State","State ANSI","Category","Measure","Metric","Chemical","Type","Domain Category","Value"
"983",2022,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","3,112,100,000"
"984",2022,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","23,077,600"
"985",2022,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","25,700"
"986",2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","10 YEAR AVG FOR PARITY PURPOSES","MEASURED IN $ / TON","TOTAL",NA,"NOT SPECIFIED","43.5"
"987",2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / TON","TOTAL",NA,"NOT SPECIFIED","43.5"
"988",2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","147,000,000"
"989",2022,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","5,416,700"
"990",2022,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","28,494,300"
"991",2022,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS",NA,"TOTAL",NA,"NOT SPECIFIED","1,424,715"
"992",2022,"YEAR","STATE","CALIFORNIA","06","ACRES HARVESTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","43,500"
"993",2022,"YEAR","STATE","CALIFORNIA","06","ACRES PLANTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","43,600"
"994",2022,"YEAR","STATE","CALIFORNIA","06","PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","2,781,768,000"
"995",2022,"YEAR","STATE","CALIFORNIA","06","PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","25,700,000"
"996",2022,"YEAR","STATE","CALIFORNIA","06","YIELD","MEASURED IN CWT / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","590"
"997",2022,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"998",2022,"YEAR","STATE","CALIFORNIA","06","FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","(D)"
"999",2022,"YEAR","STATE","CALIFORNIA","06","NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","25,700"
"1000",2022,"YEAR","STATE","CALIFORNIA","06","PROCESSING - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"1001",2022,"YEAR","STATE","CALIFORNIA","06","PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","(D)"
"1002",2022,"YEAR","STATE","CALIFORNIA","06","UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","25,674,300"
"1003",2022,"YEAR","STATE","FLORIDA","12","ACRES HARVESTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","12,800"
"1004",2022,"YEAR","STATE","FLORIDA","12","ACRES PLANTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","12,800"
"1005",2022,"YEAR","STATE","FLORIDA","12","PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","477,332,000"
"1006",2022,"YEAR","STATE","FLORIDA","12","PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","2,820,000"
"1007",2022,"YEAR","STATE","FLORIDA","12","YIELD","MEASURED IN CWT / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","220"
"1008",2022,"YEAR","STATE","FLORIDA","12","FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"1009",2022,"YEAR","STATE","FLORIDA","12","FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","(D)"
"1010",2022,"YEAR","STATE","FLORIDA","12","NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1011",2022,"YEAR","STATE","FLORIDA","12","PROCESSING - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"1012",2022,"YEAR","STATE","FLORIDA","12","PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","(D)"
"1013",2022,"YEAR","STATE","FLORIDA","12","UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","2,820,000"
"1014",2022,"YEAR","STATE","OTHER STATES",NA,"ACRES HARVESTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1015",2022,"YEAR","STATE","OTHER STATES",NA,"ACRES PLANTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1016",2022,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1017",2022,"YEAR","STATE","OTHER STATES",NA,"PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1018",2022,"YEAR","STATE","OTHER STATES",NA,"YIELD","MEASURED IN CWT / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1019",2022,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","3,112,100,000"
"1020",2022,"YEAR","STATE","OTHER STATES",NA,"FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","23,077,600"
"1021",2022,"YEAR","STATE","OTHER STATES",NA,"NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1022",2022,"YEAR","STATE","OTHER STATES",NA,"PROCESSING - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","147,000,000"
"1023",2022,"YEAR","STATE","OTHER STATES",NA,"PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","5,416,700"
"1024",2022,"YEAR","STATE","OTHER STATES",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1025",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","129"
"1026",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","143"
"1027",2021,"MARKETING YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","64"
"1028",2021,"MARKETING YEAR","STATE","CALIFORNIA","06","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","125"
"1029",2021,"MARKETING YEAR","STATE","CALIFORNIA","06","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"1030",2021,"MARKETING YEAR","STATE","CALIFORNIA","06","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"1031",2021,"MARKETING YEAR","STATE","FLORIDA","12","PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","160"
"1032",2021,"MARKETING YEAR","STATE","FLORIDA","12","FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"1033",2021,"MARKETING YEAR","STATE","FLORIDA","12","PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","(D)"
"1034",2021,"MARKETING YEAR","STATE","OTHER STATES",NA,"PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","0"
"1035",2021,"MARKETING YEAR","STATE","OTHER STATES",NA,"FRESH MARKET - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","143"
"1036",2021,"MARKETING YEAR","STATE","OTHER STATES",NA,"PROCESSING - PRICE RECEIVED","MEASURED IN $ / CWT",NA,"TOTAL",NA,"NOT SPECIFIED","64"
"1037",2021,"YEAR","NATIONAL","US TOTAL",NA,"ACRES HARVESTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","52,500"
"1038",2021,"YEAR","NATIONAL","US TOTAL",NA,"ACRES PLANTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","52,500"
"1039",2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","3,583,960,000"
"1040",2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","27,930,000"
"1041",2021,"YEAR","NATIONAL","US TOTAL",NA,"PRODUCTION","MEASURED IN TONS",NA,"TOTAL",NA,"NOT SPECIFIED","1,396,500"
"1042",2021,"YEAR","NATIONAL","US TOTAL",NA,"YIELD","MEASURED IN CWT / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","532"
"1043",2021,"YEAR","NATIONAL","US TOTAL",NA,"YIELD","MEASURED IN TONS / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","26.6"
"1044",2021,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / CWT","TOTAL",NA,"NOT SPECIFIED","111"
"1045",2021,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","3,253,959,000"
"1046",2021,"YEAR","NATIONAL","US TOTAL",NA,"FRESH MARKET","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","22,697,900"
"1047",2021,"YEAR","NATIONAL","US TOTAL",NA,"NOT SOLD - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","75,300"
"1048",2021,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRICE RECEIVED","10 YEAR AVG","MEASURED IN $ / TON","TOTAL",NA,"NOT SPECIFIED","44.1"
"1049",2021,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING - PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","330,001,000"
"1050",2021,"YEAR","NATIONAL","US TOTAL",NA,"PROCESSING","UTILIZED - PRODUCTION","MEASURED IN CWT","TOTAL",NA,"NOT SPECIFIED","5,156,800"
"1051",2021,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED - PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","27,854,700"
"1052",2021,"YEAR","NATIONAL","US TOTAL",NA,"UTILIZED - PRODUCTION","MEASURED IN TONS",NA,"TOTAL",NA,"NOT SPECIFIED","1,392,735"
"1053",2021,"YEAR","STATE","CALIFORNIA","06","ACRES HARVESTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","40,200"
"1054",2021,"YEAR","STATE","CALIFORNIA","06","ACRES PLANTED",NA,NA,"TOTAL",NA,"NOT SPECIFIED","40,200"
"1055",2021,"YEAR","STATE","CALIFORNIA","06","PRODUCTION","MEASURED IN $",NA,"TOTAL",NA,"NOT SPECIFIED","3,132,279,000"
"1056",2021,"YEAR","STATE","CALIFORNIA","06","PRODUCTION","MEASURED IN CWT",NA,"TOTAL",NA,"NOT SPECIFIED","25,100,000"
"1057",2021,"YEAR","STATE","CALIFORNIA","06","YIELD","MEASURED IN CWT / ACRE",NA,"TOTAL",NA,"NOT SPECIFIED","625"
"1058",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","1,900"
"1059",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFAC F727 = 16489)","(NA)"
"1060",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","(NA)"
"1061",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","(NA)"
"1062",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS PUMILUS = 6485)","(NA)"
"1063",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)","(NA)"
"1064",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)","(D)"
"1065",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)","100"
"1066",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)","2,100"
"1067",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)","(NA)"
"1068",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","253,600"
"1069",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (COPPER OCTANOATE = 23306)","(D)"
"1070",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CYFLUFENAMID = 555550)","500"
"1071",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (CYPRODINIL = 288202)","11,300"
"1072",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (DIFENOCONAZOLE = 128847)","(D)"
"1073",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FENHEXAMID = 90209)","16,700"
"1074",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUDIOXONIL = 71503)","7,500"
"1075",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUOPYRAM = 80302)","3,800"
"1076",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FLUXAPYROXAD = 138009)","1,800"
"1077",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (FOSETYL-AL = 123301)","(D)"
"1078",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (ISOFETAMID = 270000)","(D)"
"1079",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MEFENOXAM = 113502)","2,400"
"1080",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MONO-POTASSIUM SALT = 76416)","(D)"
"1081",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (MYCLOBUTANIL = 128857)","4,100"
"1082",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PENTHIOPYRAD = 90112)","3,400"
"1083",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (POLYOXIN D ZINC SALT = 230000)","2,300"
"1084",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (POTASSIUM BICARBON. = 73508)","10,600"
"1085",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PROPICONAZOLE = 122101)","1,200"
"1086",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRACLOSTROBIN = 99100)","3,100"
"1087",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (PYRIMETHANIL = 288201)","10,800"
"1088",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (QUINOLINE = 55459)","2,000"
"1089",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (STREPTOMYCES LYDICUS = 6327)","(NA)"
"1090",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (SULFUR = 77501)","591,200"
"1091",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TETRACONAZOLE = 120603)","800"
"1092",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (THIOPHANATE-METHYL = 102001)","9,400"
"1093",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (THIRAM = 79801)","96,300"
"1094",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TOTAL)","1,056,400"
"1095",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLOXYSTROBIN = 129112)","3,900"
"1096",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","FUNGICIDE","CHEMICAL, FUNGICIDE: (TRIFLUMIZOLE = 128879)","6,300"
"1097",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (CARFENTRAZONE-ETHYL = 128712)","(D)"
"1098",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (FLUMIOXAZIN = 129034)","500"
"1099",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","(D)"
"1100",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","(D)"
"1101",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (NAPROPAMIDE = 103001)","(D)"
"1102",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (OXYFLUORFEN = 111601)","1,700"
"1103",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (PARAQUAT = 61601)","(D)"
"1104",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (PENDIMETHALIN = 108501)","10,800"
"1105",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","16,900"
"1106",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ABAMECTIN = 122804)","200"
"1107",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ACEQUINOCYL = 6329)","7,400"
"1108",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (ACETAMIPRID = 99050)","2,300"
"1109",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (AZADIRACHTIN = 121701)","600"
"1110",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BEAUVERIA BASSIANA = 128924)","(NA)"
"1111",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENAZATE = 586)","16,700"
"1112",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BIFENTHRIN = 128825)","3,400"
"1113",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAK ABTS-1857 = 6523)","(NA)"
"1114",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI ABTS-351 = 6522)","(NA)"
"1115",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI EG7841 = 6453)","(NA)"
"1116",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT KURSTAKI SA-11 = 6519)","(NA)"
"1117",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BT SUB AIZAWAI GC-91 = 6426)","(NA)"
"1118",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BUPROFEZIN = 275100)","(D)"
"1119",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (BURKHOLDERIA A396 CELLS & MEDIA = 6534)","(NA)"
"1120",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CANOLA OIL = 11332)","(D)"
"1121",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CHLORANTRANILIPROLE = 90100)","1,800"
"1122",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","(NA)"
"1123",2021,"YEAR","STATE","CALIFORNIA","06","BEARING - APPLICATIONS","MEASURED IN LB",NA,"CHEMICAL","INSECTICIDE","CHEMICAL, INSECTICIDE: (CYANTRANILIPROLE = 90098)","1,100"
